"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,159,112,128,138,80
Admitidas,156,94,111,134,72
No admitidas,3,18,17,4,8
