"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,10,16,9,18,2
Admitidas,4,2,2,2,2
No admitidas,6,14,7,16,0
