"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,77,62,59
Admitidas (presentadas en el centro),36,38,39
Admitidas (presentadas en otro centro),0,1,0
No admitidas (presentadas en el centro),41,23,20
