"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,65,64,56,61,57
Admitidas (presentadas en el centro),48,53,53,50,44
Admitidas (presentadas en otro centro),0,1,3,1,2
No admitidas (presentadas en el centro),17,10,0,10,11
