"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,76,56,73,57,58
Admitidas (presentadas en el centro),46,41,53,54,52
Admitidas (presentadas en otro centro),0,4,2,1,1
No admitidas (presentadas en el centro),32,11,18,2,5
