"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,112,114,119,107,98
Admitidas,108,104,101,99,81
No admitidas,4,10,18,8,17
