"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,127,173,172,177,211
Admitidas,113,123,130,121,126
No admitidas,14,50,42,56,85
