"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,55,60,29,40,28
Admitidas,55,59,28,38,24
No admitidas,0,1,1,2,4
