"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,136,130,132,130,133
Admitidas (presentadas en el centro),116,113,114,112,109
Admitidas (presentadas en otro centro),0,4,5,3,6
No admitidas (presentadas en el centro),20,13,13,15,18
