"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,74,68,67,53,61
Admitidas,70,68,65,52,55
No admitidas,4,0,2,1,6
