"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,9,8,7,8,6
Admitidas,5,6,5,6,6
No admitidas,4,2,2,2,0
