"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,129,121,113,131,128
Admitidas,128,119,106,128,125
No admitidas,1,2,7,3,3
