"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,48,75
Admitidas (presentadas en el centro),25,32
Admitidas (presentadas en otro centro),1,3
No admitidas (presentadas en el centro),22,38
