"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,157,139,158,159,176
Admitidas,141,123,130,121,131
No admitidas,16,16,28,38,45
