"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,56,63,64,79,85
Admitidas (presentadas en el centro),37,44,55,71,78
Admitidas (presentadas en otro centro),0,3,2,2,1
No admitidas (presentadas en el centro),19,16,7,6,6
