"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,63,61,62,72,91
Admitidas (presentadas en el centro),47,58,60,66,71
Admitidas (presentadas en otro centro),0,1,1,1,6
No admitidas (presentadas en el centro),17,2,1,5,14
