"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024
Presentadas,7,3,5,3
Admitidas,7,0,4,3
No admitidas,0,3,1,0
