"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,48,63,53,48,60
Admitidas,46,53,38,41,40
No admitidas,2,10,15,7,20
