"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,112,92,51,69,59
Admitidas,77,73,46,58,58
No admitidas,35,19,5,11,1
