"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,6,0,2,7,11
Admitidas,6,0,1,1,6
No admitidas,0,0,1,6,5
