"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,7,10,8,13,6
Admitidas,7,10,8,10,4
No admitidas,0,0,0,3,2
