"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,81,97,102
Admitidas (presentadas en el centro),32,32,36
Admitidas (presentadas en otro centro),1,1,2
No admitidas (presentadas en el centro),44,64,64
