"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,114,112,113,127,141
Admitidas (presentadas en el centro),83,79,83,82,80
Admitidas (presentadas en otro centro),0,3,0,0,2
No admitidas (presentadas en el centro),34,30,30,45,59
