"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,12,23,16,18,8
Admitidas,6,9,8,4,1
No admitidas,6,14,8,14,7
