"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,7,11,10,7,9
Admitidas,6,2,5,3,5
No admitidas,1,9,5,4,4
