"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,31,47,39,39,47
Admitidas,24,37,33,35,32
No admitidas,7,10,6,4,15
