"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,64,70,70
Admitidas (presentadas en el centro),31,37,35
Admitidas (presentadas en otro centro),1,1,3
No admitidas (presentadas en el centro),32,32,32
