"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,15,23,93,73,99
Admitidas,8,20,50,31,62
No admitidas,7,3,43,42,37
