"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,46,42,57,48,35
Admitidas,42,36,44,38,30
No admitidas,4,6,13,10,5
