"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,351,343,333,344,392
Admitidas (presentadas en el centro),169,174,178,181,176
Admitidas (presentadas en otro centro),0,6,1,1,3
No admitidas (presentadas en el centro),191,162,154,160,213
