"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,34,70,56,57,62
Admitidas,27,36,35,17,32
No admitidas,7,34,21,40,30
