"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,46,62
Admitidas (presentadas en el centro),27,38
Admitidas (presentadas en otro centro),0,2
No admitidas (presentadas en el centro),19,22
