"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,6,3,2,2,7
Admitidas,6,1,2,2,5
No admitidas,0,2,0,0,2
