"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,158,158,132,118,134
Admitidas (presentadas en el centro),113,123,111,110,117
Admitidas (presentadas en otro centro),0,3,3,2,2
No admitidas (presentadas en el centro),49,32,18,6,15
