"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,155,137,132,123,140
Admitidas (presentadas en el centro),106,100,105,102,111
Admitidas (presentadas en otro centro),0,5,3,2,2
No admitidas (presentadas en el centro),50,32,24,19,27
