"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,12,39,55,38,45
Admitidas,0,8,12,3,5
No admitidas,12,31,43,35,40
