"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,176,184,216,211,173
Admitidas,137,125,127,137,107
No admitidas,39,59,89,74,66
