"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,166,195,143,154,129
Admitidas,137,132,124,130,105
No admitidas,29,63,19,24,24
