"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,6,5,8,4,2
Admitidas,5,4,6,3,2
No admitidas,1,1,2,1,0
