"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,163,132,143,141,141
Admitidas,156,130,135,125,125
No admitidas,7,2,8,16,16
