"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,106,105,117,105,89
Admitidas,102,99,117,105,81
No admitidas,4,6,0,0,8
