"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,229,246,216
Admitidas (presentadas en el centro),107,116,114
Admitidas (presentadas en otro centro),1,3,2
No admitidas (presentadas en el centro),121,127,100
