"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,37,75
Admitidas (presentadas en el centro),30,47
Admitidas (presentadas en otro centro),0,3
No admitidas (presentadas en el centro),7,25
