"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,56,68,64,65,66
Admitidas (presentadas en el centro),41,39,42,40,38
Admitidas (presentadas en otro centro),0,3,1,1,3
No admitidas (presentadas en el centro),16,26,21,23,23
