"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,19,9,24,10,11
Admitidas,9,0,0,5,8
No admitidas,10,9,24,5,3
