"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,119,143,151
Admitidas (presentadas en el centro),43,38,38
Admitidas (presentadas en otro centro),1,1,2
No admitidas (presentadas en el centro),74,100,110
