"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,59,68
Admitidas (presentadas en el centro),35,39
Admitidas (presentadas en otro centro),1,1
No admitidas (presentadas en el centro),23,28
