"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,274,257,261,268,263
Admitidas (presentadas en el centro),137,127,137,134,135
Admitidas (presentadas en otro centro),0,6,3,8,5
No admitidas (presentadas en el centro),139,117,121,123,120
