"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,14,24,37,52,55
Admitidas,10,16,6,0,12
No admitidas,4,8,31,52,43
