"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,98,128,96,71,85
Admitidas,86,87,44,37,48
No admitidas,12,41,52,34,37
