"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,217,484,474,524,415
Admitidas (presentadas en el centro),115,119,115,110,116
Admitidas (presentadas en otro centro),0,4,5,6,3
No admitidas (presentadas en el centro),105,360,354,408,294
