"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,10,7,2,5,5
Admitidas,8,5,2,5,4
No admitidas,2,2,0,0,1
