"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,23,38,65,105,85
Admitidas,15,0,15,8,2
No admitidas,8,38,50,97,83
