"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,176,168,135,147,164
Admitidas (presentadas en el centro),126,155,120,131,130
Admitidas (presentadas en otro centro),0,2,1,2,6
No admitidas (presentadas en el centro),52,11,14,14,28
