"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,1,6,13,8,7
Admitidas,0,3,4,1,0
No admitidas,1,3,9,7,7
