"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,138,184,217,201,169
Admitidas,110,104,122,118,99
No admitidas,28,80,95,83,70
