"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,5,9,14,10,5
Admitidas,4,6,8,5,5
No admitidas,1,3,6,5,0
