"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,14,29,62,50,56
Admitidas,0,3,11,14,17
No admitidas,14,26,51,36,39
