CODIGO,CLAVE,DIRECCION,CMUN,DESCR,UTM_X,UTM_Y,BUSCA,DS_ABREV,DS_LARGO,ETIQUETA,URL,MUNICIPIO,CD_VIAL
28080104,EOI,"Calle Mar de Alboran, 1",014,Rivas-Vaciamadrid,463267,4460661,"Escuela Oficial Idiomas EOI Rivas-Vaciamadrid. Calle Mar de Alboran, 1. Arganda del Rey",EXEOI,Escuela Oficial Idiomas,EOI Rivas-Vaciamadrid,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080104,Arganda del Rey,014C0057
28080402,EEI,"Calle De Rodas, 20",079,La Bruja Avería,440060,4473294,"Escuela de Educación Infantil EEI La Bruja Avería. Calle De Rodas, 20. Madrid",EEI,Escuela de Educación Infantil,EEI La Bruja Avería,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080402,Madrid,07905219
28080414,EEI,"Calle De Cavanilles, 56",079,Margarita Salas,442832,4472903,"Escuela de Educación Infantil EEI Margarita Salas. Calle De Cavanilles, 56. Madrid",EEI,Escuela de Educación Infantil,EEI Margarita Salas,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080414,Madrid,07901256
28080475,CEIP,Avenida De Levante C/v Avda. Primero De Mayo,123,Hispanidad,455926,4465703,Colegio Infantil y Primaria CEIP Hispanidad. Avenida De Levante C/v Avda. Primero De Mayo. Rivas-Vaciamadrid,CP INF-PRI,Colegio Infantil y Primaria,CEIP Hispanidad,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080475,Rivas-Vaciamadrid,123C0022
28080232,CEPA,"Carretera M-241, Km 5,7",055,Ana de Mendoza,493451,4440644,"Centro Educación de Adultos CEPA Ana de Mendoza. Carretera M-241, Km 5,7. Estremera",CEPA.EP,Centro Educación de Adultos,CEPA Ana de Mendoza,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080232,Estremera,055A0133
28080141,IES,"Calle Institutos, 4",007,Centro Integral de Formación Profesional a Distancia Ignacio Ellacuria,430349,4465567,"Instituto de Educación Secundaria IES Centro Integral de Formación Profesional a Distancia Ignacio Ellacuria. Calle Institutos, 4. Alcorcón",IES,Instituto de Educación Secundaria,IES Centro Integral de Formación Profesional a Distancia Ignacio Ellacuria,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080141,Alcorcón,00702655
28080396,EOI,"Avenida De La Cañada, 44",049,Coslada-San Fernando de Henares,454341,4475767,"Escuela Oficial Idiomas EOI Coslada-San Fernando de Henares. Avenida De La Cañada, 44. Coslada",EOI,Escuela Oficial Idiomas,EOI Coslada-San Fernando de Henares,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080396,Coslada,049A0120
28080116,EEI,"Carretera M-607 Colmenar Viejo, K 17,5",079,Escuela Infantil Base Militar el Goloso,440046,4489791,"Escuela de Educación Infantil EEI Escuela Infantil Base Militar el Goloso. Carretera M-607 Colmenar Viejo, K 17,5. Madrid",EEI,Escuela de Educación Infantil,EEI Escuela Infantil Base Militar el Goloso,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080116,Madrid,07940664
28081029,EEI,"Avenida Ocho De Marzo, 1",123,Pippi Langstrump,454466,4469919,"Escuela de Educación Infantil EEI Pippi Langstrump. Avenida Ocho De Marzo, 1. Rivas-Vaciamadrid",EEI,Escuela de Educación Infantil,EEI Pippi Langstrump,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28081029,Rivas-Vaciamadrid,123C0081
28080980,CEIP,"Calle De Las Escuelas, 3",012,Virgen de la Oliva,477069,4479428,"Colegio Infantil y Primaria CEIP Virgen de la Oliva. Calle De Las Escuelas, 3. Anchuelo",CP INF-PRI,Colegio Infantil y Primaria,CEIP Virgen de la Oliva,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080980,Anchuelo,012A0020
28080487,CEE,"Calle Almagro, Esquina Avda.de La Constitución, S/n",148,Iker Casillas,461742,4479199,"Centro de Educación Especial CEE Iker Casillas. Calle Almagro, Esquina Avda.de La Constitución, S/n. Torrejón de Ardoz",CP EE,Centro de Educación Especial,CEE Iker Casillas,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28080487,Torrejón de Ardoz,14801782
