CODIGO,CLAVE,DIRECCION,CMUN,DESCR,UTM_X,UTM_Y,BUSCA,DS_ABREV,DS_LARGO,ETIQUETA,URL,MUNICIPIO,CD_VIAL
28068271,EEI,"Calle Ramírez de Prado, 6",079,El Tren de la Fresa,441592,4472287,"Escuela de Educación Infantil EEI El Tren de la Fresa. Calle Ramírez de Prado, 6. Madrid",EEI,Escuela de Educación Infantil,EEI El Tren de la Fresa,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068271,Madrid,07905084
28068281,EEI,"Calle Briviesca, 6",079,Rocio Jurado,443466,4481509,"Escuela de Educación Infantil EEI Rocio Jurado. Calle Briviesca, 6. Madrid",EEI,Escuela de Educación Infantil,EEI Rocio Jurado,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068281,Madrid,07911609
28068293,EEI,"Calle Princesa de Éboli, s/n c/v Avda Alcalde Conde de Mayalde",079,Rocio Durcal,444578,4482351,"Escuela de Educación Infantil EEI Rocio Durcal. Calle Princesa de Éboli, s/n c/v Avda Alcalde Conde de Mayalde. Madrid",EEI,Escuela de Educación Infantil,EEI Rocio Durcal,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068293,Madrid,07945875
28068301,EEI,"Calle Ávila, 4",079,Campanilla,440484,4478237,"Escuela de Educación Infantil EEI Campanilla. Calle Ávila, 4. Madrid",EEI,Escuela de Educación Infantil,EEI Campanilla,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068301,Madrid,07900674
28068311,EEI,"Avda Villa Vallecas, s/n c/v Calle La Granja de San Ildefonso, 15",079,Rayuela,447135,4468841,"Escuela de Educación Infantil EEI Rayuela. Avda Villa Vallecas, s/n c/v Calle La Granja de San Ildefonso, 15. Madrid",EEI,Escuela de Educación Infantil,EEI Rayuela,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068311,Madrid,079C0422
28068323,EEI,"Calle Lago Blanco, s/n",106,El Naranjo,434498,4455434,"Escuela de Educación Infantil EEI El Naranjo. Calle Lago Blanco, s/n. Parla",EEI,Escuela de Educación Infantil,EEI El Naranjo,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068323,Parla,10610080
28068335,EEI,"Calle Estrella Polar, s/n c/v Calle Estrella Mizar, 5",106,El Limonero,435726,4453602,"Escuela de Educación Infantil EEI El Limonero. Calle Estrella Polar, s/n c/v Calle Estrella Mizar, 5. Parla",EEI,Escuela de Educación Infantil,EEI El Limonero,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068335,Parla,106C0060
28068347,EEI,"Calle Planeta Tierra, s/n entrada Calle Libra, 1",106,El Manzano,435039,4452951,"Escuela de Educación Infantil EEI El Manzano. Calle Planeta Tierra, s/n entrada Calle Libra, 1. Parla",EEI,Escuela de Educación Infantil,EEI El Manzano,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068347,Parla,106C0037
28068360,EEI,"Avda Constitución, 217",148,Juan sin Miedo,461824,4479209,"Escuela de Educación Infantil EEI Juan sin Miedo. Avda Constitución, 217. Torrejón de Ardoz",EEI,Escuela de Educación Infantil,EEI Juan sin Miedo,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068360,Torrejón de Ardoz,14800063
28068372,EEI,"Calle Antonio Machado, 5",149,Petirrojo,431780,4450715,"Escuela de Educación Infantil EEI Petirrojo. Calle Antonio Machado, 5. Torrejón de la Calzada",EEI,Escuela de Educación Infantil,EEI Petirrojo,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068372,Torrejón de la Calzada,149C0001
