CODIGO,URL,ERROR_MESSAGE
28004436,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28004436,No hay resultados académicos almacenados en el sistema
28018423,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28018423,No hay resultados académicos almacenados en el sistema
28021355,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28021355,No hay resultados académicos almacenados en el sistema
28030113,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28030113,No hay resultados académicos almacenados en el sistema
28033311,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28033311,No hay resultados académicos almacenados en el sistema
28033333,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28033333,No hay resultados académicos almacenados en el sistema
28034167,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28034167,No hay resultados académicos almacenados en el sistema
28034179,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28034179,No hay resultados académicos almacenados en el sistema
28034180,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28034180,No hay resultados académicos almacenados en el sistema
28034301,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28034301,No hay resultados académicos almacenados en el sistema
28034325,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28034325,No hay resultados académicos almacenados en el sistema
28034404,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28034404,No hay resultados académicos almacenados en el sistema
28034416,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28034416,No hay resultados académicos almacenados en el sistema
28034428,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28034428,No hay resultados académicos almacenados en el sistema
28034431,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28034431,No hay resultados académicos almacenados en el sistema
28036656,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28036656,No hay resultados académicos almacenados en el sistema
28036760,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28036760,No hay resultados académicos almacenados en el sistema
28036772,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28036772,"Message: invalid session id: session deleted as the browser has closed the connection
from disconnected: Unable to receive message from renderer
  (Session info: chrome=139.0.7258.139); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
0   chromedriver                        0x0000000100ec8c20 cxxbridge1$str$ptr + 2747652
1   chromedriver                        0x0000000100ec0b20 cxxbridge1$str$ptr + 2714628
2   chromedriver                        0x0000000100a090c8 cxxbridge1$string$len + 90536
3   chromedriver                        0x00000001009f3f4c cxxbridge1$string$len + 4140
4   chromedriver                        0x00000001009f3cc4 cxxbridge1$string$len + 3492
5   chromedriver                        0x00000001009f1a7c chromedriver + 203388
6   chromedriver                        0x00000001009f24d8 chromedriver + 206040
7   chromedriver                        0x0000000100a0c12c cxxbridge1$string$len + 102924
8   chromedriver                        0x0000000100a92450 cxxbridge1$string$len + 652592
9   chromedriver                        0x0000000100a9199c cxxbridge1$string$len + 649852
10  chromedriver                        0x0000000100a44934 cxxbridge1$string$len + 334356
11  chromedriver                        0x0000000100e8b88c cxxbridge1$str$ptr + 2496880
12  chromedriver                        0x0000000100e8eab8 cxxbridge1$str$ptr + 2509724
13  chromedriver                        0x0000000100e6c510 cxxbridge1$str$ptr + 2369012
14  chromedriver                        0x0000000100e8f360 cxxbridge1$str$ptr + 2511940
15  chromedriver                        0x0000000100e5d610 cxxbridge1$str$ptr + 2307828
16  chromedriver                        0x0000000100eaf230 cxxbridge1$str$ptr + 2642708
17  chromedriver                        0x0000000100eaf3bc cxxbridge1$str$ptr + 2643104
18  chromedriver                        0x0000000100ec076c cxxbridge1$str$ptr + 2713680
19  libsystem_pthread.dylib             0x0000000183affc0c _pthread_start + 136
20  libsystem_pthread.dylib             0x0000000183afab80 thread_start + 8
"
28036826,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28036826,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
0   chromedriver                        0x0000000100ec8c20 cxxbridge1$str$ptr + 2747652
1   chromedriver                        0x0000000100ec0b20 cxxbridge1$str$ptr + 2714628
2   chromedriver                        0x0000000100a08f3c cxxbridge1$string$len + 90140
3   chromedriver                        0x0000000100a43df8 cxxbridge1$string$len + 331480
4   chromedriver                        0x0000000100a6c3e4 cxxbridge1$string$len + 496836
5   chromedriver                        0x0000000100a6b6ec cxxbridge1$string$len + 493516
6   chromedriver                        0x00000001009d819c chromedriver + 98716
7   chromedriver                        0x0000000100e8b88c cxxbridge1$str$ptr + 2496880
8   chromedriver                        0x0000000100e8eab8 cxxbridge1$str$ptr + 2509724
9   chromedriver                        0x0000000100e6c510 cxxbridge1$str$ptr + 2369012
10  chromedriver                        0x0000000100e8f360 cxxbridge1$str$ptr + 2511940
11  chromedriver                        0x0000000100e5d610 cxxbridge1$str$ptr + 2307828
12  chromedriver                        0x00000001009d6434 chromedriver + 91188
13  dyld                                0x000000018375eb98 start + 6076
"
28036930,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28036930,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
0   chromedriver                        0x0000000100ec8c20 cxxbridge1$str$ptr + 2747652
1   chromedriver                        0x0000000100ec0b20 cxxbridge1$str$ptr + 2714628
2   chromedriver                        0x0000000100a08f3c cxxbridge1$string$len + 90140
3   chromedriver                        0x0000000100a43df8 cxxbridge1$string$len + 331480
4   chromedriver                        0x0000000100a6c3e4 cxxbridge1$string$len + 496836
5   chromedriver                        0x0000000100a6b6ec cxxbridge1$string$len + 493516
6   chromedriver                        0x00000001009d819c chromedriver + 98716
7   chromedriver                        0x0000000100e8b88c cxxbridge1$str$ptr + 2496880
8   chromedriver                        0x0000000100e8eab8 cxxbridge1$str$ptr + 2509724
9   chromedriver                        0x0000000100e6c510 cxxbridge1$str$ptr + 2369012
10  chromedriver                        0x0000000100e8f360 cxxbridge1$str$ptr + 2511940
11  chromedriver                        0x0000000100e5d610 cxxbridge1$str$ptr + 2307828
12  chromedriver                        0x00000001009d6434 chromedriver + 91188
13  dyld                                0x000000018375eb98 start + 6076
"
28037821,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28037821,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
0   chromedriver                        0x0000000100ec8c20 cxxbridge1$str$ptr + 2747652
1   chromedriver                        0x0000000100ec0b20 cxxbridge1$str$ptr + 2714628
2   chromedriver                        0x0000000100a08f3c cxxbridge1$string$len + 90140
3   chromedriver                        0x0000000100a43df8 cxxbridge1$string$len + 331480
4   chromedriver                        0x0000000100a6c3e4 cxxbridge1$string$len + 496836
5   chromedriver                        0x0000000100a6b6ec cxxbridge1$string$len + 493516
6   chromedriver                        0x00000001009d819c chromedriver + 98716
7   chromedriver                        0x0000000100e8b88c cxxbridge1$str$ptr + 2496880
8   chromedriver                        0x0000000100e8eab8 cxxbridge1$str$ptr + 2509724
9   chromedriver                        0x0000000100e6c510 cxxbridge1$str$ptr + 2369012
10  chromedriver                        0x0000000100e8f360 cxxbridge1$str$ptr + 2511940
11  chromedriver                        0x0000000100e5d610 cxxbridge1$str$ptr + 2307828
12  chromedriver                        0x00000001009d6434 chromedriver + 91188
13  dyld                                0x000000018375eb98 start + 6076
"
28037855,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28037855,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
0   chromedriver                        0x0000000100ec8c20 cxxbridge1$str$ptr + 2747652
1   chromedriver                        0x0000000100ec0b20 cxxbridge1$str$ptr + 2714628
2   chromedriver                        0x0000000100a08f3c cxxbridge1$string$len + 90140
3   chromedriver                        0x0000000100a43df8 cxxbridge1$string$len + 331480
4   chromedriver                        0x0000000100a6c3e4 cxxbridge1$string$len + 496836
5   chromedriver                        0x0000000100a6b6ec cxxbridge1$string$len + 493516
6   chromedriver                        0x00000001009d819c chromedriver + 98716
7   chromedriver                        0x0000000100e8b88c cxxbridge1$str$ptr + 2496880
8   chromedriver                        0x0000000100e8eab8 cxxbridge1$str$ptr + 2509724
9   chromedriver                        0x0000000100e6c510 cxxbridge1$str$ptr + 2369012
10  chromedriver                        0x0000000100e8f360 cxxbridge1$str$ptr + 2511940
11  chromedriver                        0x0000000100e5d610 cxxbridge1$str$ptr + 2307828
12  chromedriver                        0x00000001009d6434 chromedriver + 91188
13  dyld                                0x000000018375eb98 start + 6076
"
28037934,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28037934,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
0   chromedriver                        0x0000000100ec8c20 cxxbridge1$str$ptr + 2747652
1   chromedriver                        0x0000000100ec0b20 cxxbridge1$str$ptr + 2714628
2   chromedriver                        0x0000000100a08f3c cxxbridge1$string$len + 90140
3   chromedriver                        0x0000000100a43df8 cxxbridge1$string$len + 331480
4   chromedriver                        0x0000000100a6c3e4 cxxbridge1$string$len + 496836
5   chromedriver                        0x0000000100a6b6ec cxxbridge1$string$len + 493516
6   chromedriver                        0x00000001009d819c chromedriver + 98716
7   chromedriver                        0x0000000100e8b88c cxxbridge1$str$ptr + 2496880
8   chromedriver                        0x0000000100e8eab8 cxxbridge1$str$ptr + 2509724
9   chromedriver                        0x0000000100e6c510 cxxbridge1$str$ptr + 2369012
10  chromedriver                        0x0000000100e8f360 cxxbridge1$str$ptr + 2511940
11  chromedriver                        0x0000000100e5d610 cxxbridge1$str$ptr + 2307828
12  chromedriver                        0x00000001009d6434 chromedriver + 91188
13  dyld                                0x000000018375eb98 start + 6076
"
28038631,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28038631,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
0   chromedriver                        0x0000000100ec8c20 cxxbridge1$str$ptr + 2747652
1   chromedriver                        0x0000000100ec0b20 cxxbridge1$str$ptr + 2714628
2   chromedriver                        0x0000000100a08f3c cxxbridge1$string$len + 90140
3   chromedriver                        0x0000000100a43df8 cxxbridge1$string$len + 331480
4   chromedriver                        0x0000000100a6c3e4 cxxbridge1$string$len + 496836
5   chromedriver                        0x0000000100a6b6ec cxxbridge1$string$len + 493516
6   chromedriver                        0x00000001009d819c chromedriver + 98716
7   chromedriver                        0x0000000100e8b88c cxxbridge1$str$ptr + 2496880
8   chromedriver                        0x0000000100e8eab8 cxxbridge1$str$ptr + 2509724
9   chromedriver                        0x0000000100e6c510 cxxbridge1$str$ptr + 2369012
10  chromedriver                        0x0000000100e8f360 cxxbridge1$str$ptr + 2511940
11  chromedriver                        0x0000000100e5d610 cxxbridge1$str$ptr + 2307828
12  chromedriver                        0x00000001009d6434 chromedriver + 91188
13  dyld                                0x000000018375eb98 start + 6076
"
