NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,457,411,416,378,356
Infantil II Ciclo,94,83,69,84,79
Primaria,363,328,343,289,272
Educación Básica Obligatoria,0,0,4,4,4
Educación Infantil Especial,0,0,0,1,1
