NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,814,815,798,794,738
Infantil II Ciclo,163,151,143,124,107
Primaria,412,400,391,397,364
ESO,239,264,264,273,267
