NÚMERO DE ALUMNOS,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Total,200,189,236,250,271
Infantil II Ciclo,39,34,32,43,43
Primaria,161,155,198,200,216
Educación Básica Obligatoria,0,0,1,2,8
Educación Infantil Especial,0,0,5,5,4
